Título,Localización,Fecha,Salario,Formación,ID
Operario-a de carga,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839834360
Terapeuta ocupacional,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834363
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834362
"Ayudante de cocina, trescasas",Segovia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834365
Chofer camión,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834364
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834367
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834366
Peones de la construcción de edificios,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834370
Auxiliares de geriatría,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834369
Work-location,Tarragona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834368
Cocinero-a pedrola,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834372
Técnicos medios en ciencias matemáticas,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834325
Limpiador-a,Cuenca - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834326
1 investigador-a predoctoral,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834323
Profesor de ciencias con inglés e euskera,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Certificado de profesionalidad nivel 3…,1839834324
Peon-a forestal (informador-a micológico-a) (empleo público),Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834321
Entrenador-a lucha libre,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834322
Formador-a para curso auxiliar de eventos,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834319
"Recepcionistas-telefonistas en oficinas, en general",Granada - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839834320
Charcuteros-as zona centro de asturias- 3 puestos (ref. 2279),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834334
Oficial electricista,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834333
Formadores de formación para el empleo,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Doctorado o equivalente,1839834332
"Conductores de furgoneta, hasta 3,5 t.",Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834331
Terapeutas ocupacionales,Huelva - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834330
"Fisioterapeutas, en general",Huelva - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834329
Albañil oficial 1ª,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834328
Profesor matemáticas educación secundaria,Leon - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834327
Peón de servicios múltiples (empleo público),Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834343
Albañiles of. 1ª (cid).,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834342
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Segovia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834341
"Auxiliar administrativo de gestoría. contrato indefinido, jornada parcial de 25 horas a la semana.",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834339
Operador de grúa torre,Valladolid - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834338
Administrativo-a,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834336
"Carpinteros de aluminio, metálico y pvc",Granada - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839834337
Delineante (ett),Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834335
Ayudante de camarero-a (ref: 2278),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834344
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839834289
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,1839832300
Monitores de mantenimiento físico,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,1839832307
"Programador frontend angular, presencial",Ciudad Real - Castilla la Mancha - España,03/04/2025,21.000 - 27.000,Sin estudios,1839832304
Encargada-o de limpieza,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839832311
Cocinero-a - palladium hotel palmyra,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,1839832555
Ayudante de pastelería y panadería( ref: 04 2025 001004),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,1838063449
Auxiliar servicio limpieza (asl). (27h) (zona la sagrera) ref sxsdl,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Estudios primarios incompletos,1839832545
Logopeda en atención temprana,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias de grado,1839832302
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,1839832345
"Jefe-a de proyecto de software, 100% en remoto",España,03/04/2025,39.000 - 42.000,Doctorado universitario.,1839832348
Ingeniero-a de diseño,Navarra - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832349
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,1839832353
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,1839832368
Cuidador-a de mujeres con discapacidad (turno fines de semana),Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839832365
Carpintero-montador muebeles madera,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1838490907
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,1839832358
Trabajador-a social,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832333
"Responsable servicio workplace, hibrido",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839832335
Comercial,Navarra - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,1839832342
Técnico-a de compras (contrata ett),Girona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas universitarias de grado,1839832458
Encargado-a de obras,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832444
Cuidador-a - monitor-a,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839832452
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,1839832451
Administrativo-a - comercial,Navarra - España,03/04/2025,Sin especificar,Sin estudios,1839832438
Camarero-a,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832439
Personal atención telefónica,Valencia - Comunidad Valenciana - España,03/04/2025,14.000 - 17.999,Enseñanzas universitarias oficiales de…,1839861805
Técnico hardware y software,Navarra - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,1839832440
"Técnico-a de i+d ""ayudas para la contratación del personal investigador y tecnológico”",Navarra - España,03/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,1839832430
Auxiliar de enfermería en centro salud mental,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839832428
Auxiliar educativo-a,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias de primer…,1839832429
"Desarrollador-a python, 100% en remoto",España,03/04/2025,Sin especificar,Otros tipos de formación,1839832432
Comercial de ventas b2b fijo+comisiones sin techo,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Estudios primarios incompletos,1839832671
Personal técnico en experimentación. no clicar botón inscribirse. hacerlo a través web cpen.,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias de grado,1839832466
"Consultor-a de producto - sap-po, 100% en remoto",España,03/04/2025,45.000 - 48.000,Sin estudios,1839832468
Técnico-a de laboratorio (contrata ett),Girona - Cataluña - España,03/04/2025,Sin especificar,Sin estudios,1839832454
Montador-a ajustador-a de componentes mecánicos (ref. 1918),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839059435
Coordinador-a equipo de ventas - call center,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Estudios primarios incompletos,1839804154
Empleado-a del hogar (ref. 04 2025 001591),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,1839059428
Cocinero-a colectividades ref. sccnr,Madrid - España,03/04/2025,Sin especificar,Sin estudios,1839832695
Operario-a de lavandería industrial,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1835644806
Mozo-a y administrativo-a de almacén en martorell,Barcelona - Cataluña - España,03/04/2025,14.000 - 17.999,Enseñanzas universitarias oficiales de…,1839832823
Tornero-a cnc (ref. 1913),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839059383
Oferta pública: auxiliar de cocina.,Granada - Andalucia - España,03/04/2025,1.727,Enseñanzas universitarias de primer…,1839861154
Oferta privada: peón de mantenimiento.,Cadiz - Andalucia - España,03/04/2025,1.184,Enseñanzas universitarias de grado,1839861155
Auxiliar administrativo-a departamento de recursos humanos,Valencia - Comunidad Valenciana - España,03/04/2025,14.000 - 17.999 Primera etapa de educación secundaria…,,1839832845
Due-enfermera-o para residencia de mayores,Granada - Andalucia - España,03/04/2025,1.500,Enseñanzas universitarias oficiales de…,1839861150
Oferta publica: tecnico-a a2 uca,Cadiz - Andalucia - España,03/04/2025,2.751,Enseñanzas universitarias de 1 er y 2º…,1839861153
Oferta pública: técnico-a en educación infantil para centro de educación infantil - 1 puesto -…,Granada - Andalucia - España,03/04/2025,1.200 Primera etapa de educación secundaria…,,1839861169
Jefe-a de sección comercial,Sevilla - Andalucia - España,03/04/2025,2.841,Otros tipos de formación,1839861166
Oferta pública: médico-a (grupo a1) laboral temporal por sustitución,Granada - Andalucia - España,03/04/2025,3.359,Enseñanzas universitarias de 1 er y 2º…,1839861170
Restaurador-a ( vi convenio personal laboral junta de andalucia) conservadores de museos y galerías…,Sevilla - Andalucia - España,03/04/2025,2.834 Programas de formación e inserción…,,1839861187
Oferta pública: personal limpieza edificios públicos - 1 puesto - duracíón estimada 90 días -…,Granada - Andalucia - España,03/04/2025,906,Enseñanzas universitarias de primer…,1839861191
Terapeuta ocupacional,Jaen - Andalucia - España,03/04/2025,1.253,Enseñanzas universitarias de grado,1839861148
Terapeuta ocupacional,Malaga - Andalucia - España,03/04/2025,727,Enseñanzas universitarias de grado,1839861147
Fisioterapeuta para residencia de mayores,Granada - Andalucia - España,03/04/2025,850,Otros tipos de formación,1839861123
"Oferta pública: docente programa de empleo y formación. certificado de profesionalidad ""actividades…",Granada - Andalucia - España,03/04/2025,1.500,Enseñanzas universitarias de primer…,1839861124
Responsable de proyecto,Valencia - Comunidad Valenciana - España,03/04/2025,24.000 - 29.999 Primera etapa de educación secundaria…,,1839832831
Enfermero-a,Huelva - Andalucia - España,03/04/2025,2.679,Enseñanzas universitarias de grado,1839861139
Limpiador-a. ref slmpd,Valencia - Comunidad Valenciana - España,03/04/2025,Sin especificar,Estudios primarios incompletos,1839832730
"Desarrollador-a powerapps, hibrido",Sevilla - Andalucia - España,03/04/2025,24.000 - 36.000,Otros tipos de formación,1839833051
"Adobe aep, zaragoza",Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833042
"Project manager con python, españa",España,03/04/2025,30.000 - 39.000,Enseñanzas universitarias oficiales de…,1839833046
Oferta pública: director programa de empleo y formación. certificado de profesionalidad…,Granada - Andalucia - España,03/04/2025,1.650,Enseñanzas universitarias oficiales de…,1839861117
Operador-a montador-a de video,Sevilla - Andalucia - España,03/04/2025,1.254 En prácticas,Enseñanzas universitarias oficiales de…,1839861127
"Devops engineer, republika bulgariya",Bulgaria,03/04/2025,Sin especificar,Otros tipos de formación,1839833024
"Splunk administrator, hibrido",Madrid - España,03/04/2025,48.000 - 72.000,Otros tipos de formación,1839833022
"Programador java linux grafana ciam, hibrido",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,1839833080
Logistica retail leganés,Madrid - España,03/04/2025,14.000 - 17.999 Primera etapa de educación secundaria…,,1839833087
"Operations data analytics, hibrido",España,03/04/2025,Sin especificar,Otros tipos de formación,1839833015
"Desarrollador-a fullstack, hibrido",Valencia - Comunidad Valenciana - España,03/04/2025,27.000 - 36.000,Otros tipos de formación,1839833017
Conductores camión cisterna (gasóleo distintos usos),Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839540437
"It specialist, madrid",Madrid - España,03/04/2025,24.000 - 30.000,Otros tipos de formación,1839833012
"Data manager, madrid",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832972
"Senior data engineer azure-databricks, 100% en remoto",España,03/04/2025,39.000 - 48.000,Otros tipos de formación,1839832963
"Desarrollador frontend react, madrid",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832962
"Arquitecto-experto datos, 100% en remoto",España,03/04/2025,Sin especificar,Enseñanzas universitarias de primer…,1839833072
"Arquitecto de aplicaciones .net grupofcc, 100% en remoto",España,03/04/2025,Sin especificar,Sin estudios,1839833076
"Sage x3 specialist, hibrido",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833067
"It data manager, hibrido",Alicante - Comunidad Valenciana - España,03/04/2025,45.000 - 54.000,Otros tipos de formación,1839833008
"Integration architect, scotland",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,1839832998
"Technical support engineer, london",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,1839833000
Expendedor-a-vendedor-a gasolinera,Sta.cruz de Tenerife - Canarias - España,03/04/2025,14.000 - 17.999,Enseñanzas universitarias oficiales de…,1839833059
"Senior salesforce engineer, hibrido",Malaga - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832987
"Visualization engineer, rzeczpospolita polska",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,1839832979
"It platform owner, barcelona",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832977
"Senior software developer, hibrido",España,03/04/2025,Sin especificar,Estudios primarios incompletos,1839833102
"Ap java micro (kubernetes, aws, azure), 100% en remoto",España,03/04/2025,33.000 - 42.000,Sin estudios,1839833110
"Db developer, rzeczpospolita polska",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,1839833164
"Desarrollador c#, hibrido",Madrid - España,03/04/2025,33.000 - 45.000,Otros tipos de formación,1839833169
Montaje y mantenimiento de equipos industriales hostelería.,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1830543065
"Dieñador creativo - marketing digital, cádiz",Cadiz - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833190
"Frontend developer react js, 100% en remoto",España,03/04/2025,33.000 - 42.000,Otros tipos de formación,1839833175
"Devops, 100% en remoto",España,03/04/2025,39.000 - 54.000,Otros tipos de formación,1839833177
"Desarrollador backend .net, hibrido",Alicante - Comunidad Valenciana - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833181
Operario-a de envasado,Jaen - Andalucia - España,03/04/2025,1.299,Otros tipos de formación,1839861236
Oferta publica: auxiliar de ayuda a domicilio,Cadiz - Andalucia - España,03/04/2025,1.300,Enseñanzas universitarias de primer…,1839861237
Oferta publica: tecnico-a especialista patron de barco,Cadiz - Andalucia - España,03/04/2025,2.117,Enseñanzas universitarias de primer…,1839861232
"Back-end developer, republika bulgariya",Bulgaria,03/04/2025,Sin especificar,Otros tipos de formación,1839833156
"Big data engineer- data engineer, hibrido",España,03/04/2025,Sin especificar,Otros tipos de formación,1839833160
"Técnico ciberseguridad, hibrido",Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833212
"Fullstack developer (java-angular), hibrido",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833219
"Presales técnico para xdrnet, barcelona",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Sin estudios,1839833205
"Consultor-a de negocio -sap brim, madrid",Madrid - España,03/04/2025,48.000 - 60.000,Sin estudios,1839833125
"Desarrollador php (e-commerce), 100% en remoto",España,03/04/2025,Sin especificar,Otros tipos de formación,1839833137
"Ux designer, barcelona",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833135
"Java backend developer senior, 100% en remoto",España,03/04/2025,Sin especificar,Otros tipos de formación,1839833145
"Data architect & analytics, madrid",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833143
"Data engineer, madrid",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833153
"Software automation, rzeczpospolita polska",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,1839833352
"Test engineer, london",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,1839833349
"Sap fico consultant, hibrido",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833221
"Product owner-business analyst, 100% en remoto",España,03/04/2025,Sin especificar,Sin estudios,1839833224
"Senior servicenow configuration manager, gotlands län",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,1839833250
"Sc cleared oracle techno functional, london",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,1839833253
"Programador-a senior python, hibrido",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833329
"Analista-desarrollador, hibrido",Alicante - Comunidad Valenciana - España,03/04/2025,30.000 - 36.000,Sin estudios,1839833341
"Programador-a fullstack, 100% en remoto",España,03/04/2025,Sin especificar,Otros tipos de formación,1839833315
"Developer fullstack, hibrido",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839833316
"Programador full stack proyecto ciam, hibrido",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,1839833318
Ayudante de cocina (ref.:1203),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1838093700
"Ap fullstack (java-angular-plsql), málaga",Malaga - Andalucia - España,03/04/2025,Sin especificar,Sin estudios,1839833267
"Analista programador en php, presencial",Malta,03/04/2025,30.000 - 30.000,Sin estudios,1839833260
"Application architect, london",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,1839833237
Operario-a de calle para manteminiento de bicicletas eléctricas (ref 1762),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1838829282
Enfermero-a (ref. 34),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1836669987
Operario-a pintura industrial,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Estudios primarios incompletos,1839832147
Técnico-a aa.dd y s.f en vivagym berlin,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Sin estudios,1839832154
Tècnic-a de selecció i talent,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas universitarias de primer…,1839832141
"Business analyst - clm 100% (f-m-d), madrid",Madrid - España,03/04/2025,Sin especificar,Doctorado universitario.,1839832146
"Full stack .net software engineer f-m-d, madrid",Madrid - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,1839832114
"Application 2nd level support 100% f-m-d, madrid",Madrid - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,1839832107
Monitores infantiles de sala,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839832109
"Devops engineer 100% (f-m-d), madrid",Madrid - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,1839832110
"Security assurance analyst, rzeczpospolita polska",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,1839832158
"Identity & access management operation, madrid",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832137
Técnico-a-a at. sociosanitaria-noche-temporal-leganés,Madrid - España,03/04/2025,Sin especificar,Sin estudios,1839832135
Técnico-a-a at. sociosanitaria-tarde-temporal-leganés,Madrid - España,03/04/2025,Sin especificar,Sin estudios,1839832129
Instructor de pilates máquina y suelo (ref.: 1875),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839020708
Fisioterapeuta,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,1836993017
Comercial de ventas (telemarketing),Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,1839540640
Albañiles,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832056
"Program manager, hessen",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,1839832236
Pintores y-o empapeladores,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832050
Técnico-a superior prevención riesgos laborales (huelva),Huelva - Andalucia - España,03/04/2025,18.000 - 20.999 Primera etapa de educación secundaria…,,1839862167
Electromecánicos para montaje de vehículos y robótica (sector defensa),Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1838829115
Técnico-a aa.dd y s.f en benidorm,Alicante - Comunidad Valenciana - España,03/04/2025,Sin especificar,Sin estudios,1839832204
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,1839832280
1,Girona - Cataluña - España,03/04/2025,Sin especificar,Sin estudios,1839832220
Monitor-a de suport a llagostera. ref. smntr,Girona - Cataluña - España,03/04/2025,Sin especificar,Sin estudios,1839832215
"Técnico de marketing y comunicación, barcelona",Barcelona - Cataluña - España,03/04/2025,30.000 - 33.000,Otros tipos de formación,1839832227
"Soporte sap fi-co, málaga",Malaga - Andalucia - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839832247
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,1839832251
Enfermer@ para torremayor .,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832262
"Mic senior support, rzeczpospolita polska",Sin Especificar,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,1839832180
Auxiliares de enfermería de geriatría,Sta.cruz de Tenerife - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839832289
"Ingeniero-a infraestructura middleware, hibrido",Madrid - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,1839832294
"Recepcionistas en establecimientos distintos de oficinas, en general",Ourense - Galicia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839832292
Conductor-a de furgoneta recogida muestras clínicas (toledo),Toledo - Castilla la Mancha - España,03/04/2025,6.000,Enseñanzas universitarias oficiales de…,1839862326
Encofradores huesca y lleida,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839020829
Ganaderos.,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1838220036
Administrativo-a cobros-tesoreria,Huesca - Aragon - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1838400528
Personal limpieza industrial (nocturno),Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839119017
Auxiliar administrativo. atención al cliente.,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839711274
Oferta 2192-electricista (oficial de 1º) en madrid,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,1839400702
"Maquinistas retroexcavadoras, buldócer, trailla-mototrailla (varios puestos)",Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1836196630
Personal de limpieza industrial (horario nocturno),Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839711014
Personal de limpieza (ref. 1949),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,1839118884
Soldadores de hilo,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839400896
Electricistas de mantenimiento y reparación-electricistas de fabricación,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1839400895
1 ayudante de cocina,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,1838739300
Carretillero-operario transpaleta eléctrica (con plataforma),Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,1837419396
Dependientes de recambios y accesorios de automóvil-empleados administrativos comerciales en general,Huesca - Aragon - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839118559
Conductores de camión rutas desde binéfar y-o monzón.,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1836079883
Operador-a de panel en planta termosolar,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,1838035854
Mecánico-electromecánico mantenimiento industrial,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1838122527
Ingeniero comercial (h-m_dos vacantes),Madrid,03/04/2025,24.000 - 24.000,Enseñanzas universitarias oficiales de…,1839832058
Dependiente-camarero en cine (torre outlet),Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,1837728013
Monitor de sala,Las Palmas - Canarias - España,02/04/2025,16.000 - 17.000,Enseñanzas universitarias de grado,1839781039
Empleada de hogar,Ceuta - España,02/04/2025,"16.576,00 - 16.576,00",Estudios primarios incompletos,1839785302
Pastor ovejas,Cuenca - Castilla la Mancha - España,02/04/2025,17.000 - 22.000,Estudios primarios completos,1839785180
Transportista - montador muebles,Toledo - Castilla la Mancha - España,02/04/2025,20.000 - 20.000,Nivel de estudios desconocido,1839785698
Responsable de sala,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Primera etapa de educación secundaria…,1839789483
Es busca optometrista,Barcelona - Cataluña - España,02/04/2025,15.000 - 30.000,Enseñanzas universitarias de grado,1839788731
Vendedores-as para el sorteo de oro de cruz roja (remunerado),Barcelona - Cataluña - España,02/04/2025,7.200 - 7.200,Sin estudios,1839789252
Personal de vigilancia,Zaragoza - Aragon - España,02/04/2025,20.176 - 20.176,Estudios primarios completos,1839788582
Auxiliar de taller de rotulación,Madrid - España,02/04/2025,16.580 - 16.580,Nivel de estudios desconocido,1839788413
Cocinera,Asturias - España,02/04/2025,17.050 - 17.050,Nivel de estudios desconocido,1839789941
Auxiliar de caixa i reposador de supermercat,Barcelona - Cataluña - España,02/04/2025,15.984 - 17.760,Estudios primarios incompletos,1839789737
Cocinera,Valencia - Comunidad Valenciana - España,02/04/2025,186.622 - 18.622,Sin estudios,1839789798
Administrativo-a laboral barcelona,Barcelona - Cataluña - España,02/04/2025,18.000 - 20.000,Enseñanzas de grado superior de…,1839789491
Oficial primera albañil,Ciudad Real - Castilla la Mancha - España,02/04/2025,21.000 - 22.000,Nivel de estudios desconocido,1839789824
Peón en obra de carretera,Zaragoza - Aragon - España,02/04/2025,23.354 - 23.354,Nivel de estudios desconocido,1839789689
Oficial en obra de carretera,Zaragoza - Aragon - España,02/04/2025,27.556 - 27.556,Nivel de estudios desconocido,1839789593
Limpiador-ra,Navarra - España,02/04/2025,12.000 - 16.000,Estudios primarios completos,1839789838
Instalador,Asturias - España,02/04/2025,27.000 - 28.000,Enseñanzas de grado medio de formación…,1839788414
Conductor trailer c+e,Madrid - España,02/04/2025,30.000 - 33.000,Sin estudios,1839790593
Expendedor vendedor,Navarra - España,02/04/2025,15.500 - 18.000,Estudios primarios completos,1839790376
Arquitecto-a junior,Barcelona - Cataluña - España,02/04/2025,28.664 - 28.664,Enseñanzas universitarias de grado,1839790475
Ingeniero industrial,Cantabria - España,02/04/2025,35.000 - 38.000,Enseñanzas universitarias de grado,1839790588
Chofer c+e,Navarra - España,02/04/2025,"30,000 - 33,000",Enseñanzas de bachillerato,1839790306
